usa_paraula_base,usa_es_minusc,usa_inici_majusc,usa_es_majusc,usa_es_digit,usa_te_digit,usa_es_alfanumeric,usa_puntuacio,usa_simbol,usa_longitud,usa_forma,usa_forma_curta,usa_afixos,usa_postag,usa_lema,usa_context_bigrama_postag,usa_inici_final,usa_gasetes,usa_context_paraula,usa_context_postag,F1_Parcial
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0.44127243066884175
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0.03250332636380916
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0.16773664799890725
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0.16275738585496866
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0.0
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0.0
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.0021308331557639035
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0.0
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0.0
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0.0
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0.4896007650011953
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0.4203102961918195
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0.4596919661440267
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0.12078259133559592
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0.44127243066884175
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0.2995945102932003
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0.3926371580002865
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0.36773011753930696
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0,0.43619047619047613
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0.26184210526315793
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2,0.2884213907178416
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0.653957528957529
False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0.505026328386788
False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0.49813275508974825
False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0.48889416795343865
False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0.4888915432393693
False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0.48181927277091086
False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0,0,0.4897934821535156
False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0,0,0.47993270848353764
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0,0,0.48306102835175396
False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0,0,0.48507192070591076
False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0,0,0.4962752749201845
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0,0,0.7043582089552238
False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0,0,0.504778972520908
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0.653957528957529
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0,0,0.5826584087660791
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0,0,0.488135593220339
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,0,0.6538804638715433
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0.6569047619047619
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2,0,0.691793893129771
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,1,0.5581089168162777
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,2,0.5936904761904762
True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0,0,0.7295552367288379
False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0,0,0.7043055390819595
False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0,0,0.7003319108582267
False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0,0,0.7028761587829807
False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,0,0,0.7036992840095465
False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0,0,0.7048300536672629
False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,0,0,0.7044452389464902
False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,0,0,0.7038452352519704
False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,0,0,0.7053976594220206
False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,0,0,0.7023667224480038
False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,0,0,0.6979191298179238
False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,0,0,0.7217473884140552
False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,0,0,0.7289149419787055
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,0,0,0.7162531164668171
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0,0,0.7010667625554355
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,0,0,0.7076030609725993
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1,0,0.7459523809523809
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2,0,0.7571191267204557
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0,1,0.7234573772440851
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0,2,0.7264997638167218
True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2,0,0.7676851741766735
False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2,0,0.7607029130793727
False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2,0,0.7578686785335376
False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2,0,0.7586938583048449
False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,2,0,0.7559876689589756
False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,2,0,0.7558924552884047
False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,2,0,0.7541504768632992
False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,2,0,0.7582612815349995
False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,2,0,0.7561409754360983
False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,2,0,0.7570159857904084
False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,2,0,0.7559091972852796
False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,2,0,0.7646641438032166
False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,2,0,0.7676851741766735
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,2,0,0.7590532544378698
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,2,0,0.7560830860534125
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,2,0,0.7576594977772438
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2,1,0.7625133120340788
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2,2,0.7586532782043709
True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2,0,0.7669776780441714
True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2,0,0.7695482957895979
True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2,0,0.7654788682372441
True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,2,0,0.7680332739156268
True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,2,0,0.7677871481173535
True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,2,0,0.7644486467320647
True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,2,0,0.7673838107690478
True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,2,0,0.7674473903221971
True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,2,0,0.766306284899608
True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,2,0,0.7655350640197345
True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,2,0,0.7714792899408285
True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,2,0,0.7693130496791062
True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,2,0,0.7668522686885441
True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,2,0,0.7663695781342841
True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,2,0,0.7620365912373616
True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2,1,0.7732496149745292
True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2,2,0.7679839091339328
True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2,1,0.7735715965201034
True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2,1,0.7748383303938859
True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2,1,0.7734181689642984
True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,2,1,0.7712930011862396
True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,2,1,0.7732812684889363
True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,2,1,0.7702988938573782
True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,2,1,0.7739758465545821
True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,2,1,0.7725764399146717
True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,2,1,0.7709073679222934
True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,2,1,0.773142723224748
True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,2,1,0.7769639692852924
True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,2,1,0.7757518351882547
True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,2,1,0.7690124186871674
True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,2,1,0.7737234924771946
True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,2,1,0.7707082833133252
True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,2,1,0.7768034607739974
True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,2,1,0.7755197932573712
True,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,2,1,0.7768235294117647
True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,2,1,0.7756743965925224
True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,2,1,0.7768458357944478
True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,2,1,0.7752531198493054
True,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,2,1,0.7769903141979684
True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,2,1,0.7769376181474479
True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,2,1,0.7765039593428673
