usa_paraula_base,usa_es_minusc,usa_inici_majusc,usa_es_majusc,usa_es_digit,usa_te_digit,usa_es_alfanumeric,usa_puntuacio,usa_simbol,usa_longitud,usa_forma,usa_forma_curta,usa_afixos,usa_postag,usa_lema,usa_context_bigrama_postag,usa_inici_final,usa_gasetes,usa_context_paraula,usa_context_postag,F1_Parcial
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0.3461880747552655
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0.06230200633579726
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0.11143695014662756
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0.15767230169050717
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0.05276292335115865
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0.05276292335115865
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.0526128688233203
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0.049982149232416985
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0.052631578947368425
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0.03374578177727784
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0.41687499999999994
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0.3540925266903915
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0.5205008593174564
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0.08963093145869948
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0.3461880747552655
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0.20907759882869692
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0.31893333333333335
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0.19630925867006047
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0,0.20869013637805267
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0.11804324707550513
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2,0.1439920556107249
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0.5608091640263222
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0.5620782726045884
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0.5525891829689299
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0.5624562222741069
False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0.5225822287677958
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0.5216110019646365
False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0,0,0.5205008593174564
False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0,0,0.5297443461160274
False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0,0,0.5208845208845209
False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0,0,0.5355841632256497
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0,0,0.6481221128740711
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0,0,0.6600361663652803
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0.5714622086178478
False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0,0,0.5606429615197273
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0,0,0.547564338235294
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,0,0.5370511841100077
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,0,0.5344574780058651
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,0,0.5516988511366415
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2,0,0.5521140609636186
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,1,0.5298254122211445
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,2,0.5344699777613047
True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0,0,0.6888888888888889
False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0,0,0.6628069474945099
False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0,0,0.6623897353648758
False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0,0,0.6601044596223382
False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,0,0,0.6639935846030472
False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,0,0,0.6642584788280153
False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,0,0,0.6659309791332264
False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,0,0,0.6698756518251103
False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,0,0,0.6641940657578188
False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,0,0,0.6792828685258964
False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,0,0,0.6798732171156894
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,0,0,0.6912524850894632
False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,0,0,0.6888888888888889
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,0,0,0.6825491363907087
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,0,0,0.6783685064935066
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,0,0,0.6758842443729903
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1,0,0.7212219300020231
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,2,0,0.7196847210994343
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0,1,0.7004032258064515
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0,2,0.7032283938239422
True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1,0,0.73733922829582
False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1,0,0.7279455891178236
False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1,0,0.7220427937020589
False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1,0,0.7213346814964611
False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,1,0,0.7224919093851132
False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,1,0,0.7244588306696338
False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,1,0,0.7211986232030776
False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,1,0,0.7270888124620675
False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,1,0,0.7228403803358284
False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,1,0,0.7238133386741439
False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,1,0,0.7253731343283583
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,1,0,0.7347956131605184
False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,1,0,0.73733922829582
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,1,0,0.7240826147984761
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,1,0,0.7297297297297298
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,1,0,0.7065078689919183
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1,1,0.7339375629405841
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1,2,0.7357013847080073
True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1,0,0.7370732681173887
True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1,0,0.7353413654618475
True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1,0,0.7370006022886971
True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,1,0,0.735553772070626
True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,1,0,0.7353000200682319
True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,1,0,0.735890741112673
True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,1,0,0.7406513872135102
True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,1,0,0.7348865233982727
True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,1,0,0.7449101796407186
True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,1,0,0.7445792719315696
True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,1,0,0.7407554671968191
True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,1,0,0.7404948702474351
True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,1,0,0.746161515453639
True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,1,0,0.7389646869983949
True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,1,0,0.7108714043993232
True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1,1,0.7471494298859771
True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1,2,0.7525958466453675
True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1,2,0.7528268200753818
True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1,2,0.7541375872382852
True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1,2,0.7515961691939346
True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,1,2,0.7533399800598206
True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,1,2,0.75324416051108
True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,1,2,0.7534410532615199
True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,1,2,0.7540950858969236
True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,1,2,0.7518962075848303
True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,1,2,0.7596899224806202
True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,1,2,0.7584025306445236
True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,1,2,0.7581983405768471
True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,1,2,0.7556308550926849
True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,1,2,0.7514781237682303
True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,1,2,0.7533479912052767
True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,1,2,0.7235380423391323
True,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,1,2,0.7623096697646826
True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,1,2,0.7602698948204009
True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,1,2,0.7630482238539392
True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,1,2,0.7594836146971202
True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,1,2,0.7593328038125496
True,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,1,2,0.7604849930431326
True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,1,2,0.7599364069952305
True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,1,2,0.7589427662957074
True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,1,2,0.7618199802176063
True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,1,2,0.7666075300611078
True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,1,2,0.7636074692093763
True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,1,2,0.7574744295830056
True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,1,2,0.7606837606837606
True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,1,2,0.7263289036544851
True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,1,2,0.764406115248922
True,False,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,1,2,0.7655634357762017
True,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,1,2,0.7668965517241378
True,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,1,2,0.7662132860240489
True,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,1,2,0.7655172413793104
True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,1,2,0.7665615141955835
True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,1,2,0.7670151903728547
True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,False,1,2,0.7652276759314016
True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,1,2,0.7666601140161197
True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,1,2,0.7671529968454259
True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,1,2,0.7591427447896186
True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,1,2,0.7631267272009475
True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,True,1,2,0.7302076907258894
True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,1,2,0.7693513619439545
True,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,1,2,0.7676847290640395
True,False,False,True,False,False,False,False,False,True,False,True,True,True,True,False,False,False,1,2,0.7688818773417472
True,False,False,False,True,False,False,False,False,True,False,True,True,True,True,False,False,False,1,2,0.7670017740981667
True,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False,False,False,1,2,0.7666995073891626
True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,False,False,False,1,2,0.7677902621722846
True,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,1,2,0.7685624012638229
True,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,1,2,0.7665615141955835
True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,1,2,0.7716643741403025
True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,1,2,0.7657817109144543
True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,1,2,0.765390686661405
True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,True,1,2,0.7299300123507615
True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,1,2,0.7710207274149394
True,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,1,2,0.7702437106918238
True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,1,2,0.7708783651011986
True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,1,2,0.771816037735849
True,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,1,2,0.770984863377236
True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,False,False,1,2,0.7713330711757765
True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,False,1,2,0.7706981317600787
True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,1,2,0.7715746019264793
True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,1,2,0.7690948360494797
True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,1,2,0.7684127609294998
True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,1,2,0.7337133550488599
True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,1,2,0.771758263250538
True,False,True,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,1,2,0.7702437106918238
True,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,1,2,0.7715127701375245
True,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,False,1,2,0.770984863377236
True,False,False,False,True,False,True,False,False,True,True,True,True,True,True,False,False,False,1,2,0.7709398348407394
True,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,False,1,2,0.771198111351564
True,False,False,False,True,False,False,False,True,True,True,True,True,True,True,False,False,False,1,2,0.7718608764000785
True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,False,False,1,2,0.7689438555162939
True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,True,False,1,2,0.7686096888538795
